UniqueID,Residence,Education,HouseHeadSex,Age,NumChild,WealthIndexOriginal,WealthIndex
119,Urban,Incomplete Secondary,Male,17,0,48590,261933
120,Urban,No Education,Female,32,2,99748,313091
121,Urban,Incomplete Secondary,Male,28,0,199112,412455
122,Urban,Incomplete Secondary,Male,25,0,199112,412455
123,Rural,Incomplete Primary,Male,28,4,-57219,156124
124,Rural,No Education,Male,45,4,-58994,154349
125,Rural,Incomplete Primary,Male,20,0,-58994,154349
126,Rural,Incomplete Primary,Male,30,7,-51325,162018
127,Rural,Incomplete Primary,Male,22,2,-33966,179377
128,Rural,No Education,Female,32,3,-70213,143130
129,Rural,Incomplete Primary,Female,24,2,-73222,140121
130,Rural,Incomplete Primary,Male,19,2,-69810,143533
131,Rural,Incomplete Primary,Female,24,2,-23896,189447
132,Rural,Incomplete Primary,Male,23,3,-43877,169466
133,Rural,Incomplete Primary,Male,32,3,-44111,169232
134,Rural,No Education,Male,28,5,-58993,154350
135,Rural,Incomplete Primary,Male,24,2,-58782,154561
136,Rural,Incomplete Primary,Female,19,1,-37290,176053
137,Rural,No Education,Male,40,5,-61301,152042
138,Rural,Incomplete Secondary,Male,15,0,-61301,152042
139,Rural,No Education,Female,45,4,-61522,151821
140,Rural,No Education,Female,44,7,-55577,157766
141,Rural,No Education,Female,29,3,-60539,152804
142,Rural,Incomplete Primary,Male,18,1,-66434,146909
143,Rural,Incomplete Primary,Female,28,1,-62922,150421
144,Rural,Incomplete Primary,Female,22,3,-60771,152572
145,Rural,No Education,Female,35,8,-35647,177696
146,Rural,No Education,Male,42,0,-54579,158764
147,Rural,No Education,Male,15,0,-119652,93691
148,Rural,No Education,Female,46,8,-74778,138565
149,Rural,No Education,Female,15,0,-74778,138565
150,Rural,No Education,Female,18,2,-70986,142357
151,Rural,No Education,Female,21,2,-84679,128664
152,Rural,No Education,Female,25,5,-95872,117471
153,Rural,No Education,Male,39,7,-99619,113724
154,Rural,No Education,Male,25,4,-112177,101166
155,Rural,No Education,Female,40,7,-101902,111441
156,Rural,No Education,Male,21,2,-82859,130484
157,Rural,No Education,Male,40,9,-102121,111222
158,Rural,No Education,Female,28,4,-82528,130815
159,Rural,Incomplete Primary,Female,28,5,-115095,98248
160,Rural,No Education,Male,41,7,-82258,131085
161,Rural,No Education,Female,22,3,-93036,120307
162,Rural,No Education,Male,45,10,-102093,111250
163,Rural,No Education,Female,18,0,-76412,136931
164,Rural,No Education,Female,16,0,-76412,136931
165,Rural,No Education,Male,42,8,-121459,91884
166,Rural,No Education,Female,33,6,-84587,128756
167,Rural,No Education,Female,30,6,-98140,115203
168,Rural,No Education,Female,38,9,-118125,95218
169,Rural,No Education,Male,37,8,-88287,125056
170,Rural,No Education,Male,41,10,-123566,89777
171,Rural,No Education,Female,30,4,-84869,128474
172,Rural,No Education,Female,42,6,-113849,99494
173,Rural,No Education,Female,17,0,-113849,99494
174,Rural,No Education,Male,29,5,-98144,115199
175,Rural,No Education,Male,16,0,-105811,107532
176,Rural,No Education,Male,29,3,-39832,173511
177,Rural,No Education,Male,30,3,-99456,113887
178,Rural,No Education,Male,20,2,-99885,113458
179,Rural,No Education,Male,39,10,-98532,114811
180,Rural,No Education,Male,35,9,-97896,115447
181,Rural,Incomplete Primary,Male,16,0,-97896,115447
182,Rural,No Education,Male,28,5,-69570,143773
183,Rural,No Education,Male,30,7,-106794,106549
184,Rural,No Education,Male,30,6,-89346,123997
185,Rural,No Education,Male,20,0,-90149,123194
186,Rural,No Education,Male,17,0,-71453,141890
187,Rural,No Education,Male,17,1,-71453,141890
188,Rural,No Education,Male,20,2,-107910,105433
189,Rural,No Education,Male,35,6,-96106,117237
190,Rural,No Education,Male,30,5,-115948,97395
191,Rural,No Education,Male,25,2,-95770,117573
192,Rural,No Education,Male,16,0,-87963,125380
193,Rural,No Education,Male,25,6,-73820,139523
194,Rural,Incomplete Secondary,Female,20,2,-22541,190802
195,Rural,No Education,Female,26,5,-68045,145298
196,Rural,Incomplete Primary,Male,24,2,-32428,180915
197,Rural,Incomplete Primary,Female,18,0,-17190,196153
198,Rural,No Education,Female,27,5,-26054,187289
199,Rural,Higher,Female,20,0,-65789,147554
200,Rural,No Education,Female,20,2,-58812,154531
201,Rural,No Education,Female,37,7,-58259,155084
202,Rural,No Education,Female,35,5,-66909,146434
203,Rural,No Education,Female,42,7,-45706,167637
204,Rural,No Education,Female,35,3,-51249,162094
205,Rural,No Education,Male,25,5,-58645,154698
206,Rural,No Education,Female,48,7,-81068,132275
207,Rural,Incomplete Secondary,Female,15,0,-56577,156766
208,Rural,No Education,Female,21,2,-62088,151255
209,Rural,No Education,Female,25,3,-34909,178434
210,Rural,No Education,Female,35,7,-52515,160828
211,Rural,No Education,Male,32,5,-33497,179846
212,Rural,Incomplete Primary,Male,16,0,-33497,179846
213,Rural,No Education,Male,40,0,-45306,168037
214,Rural,No Education,Male,21,1,-43546,169797
215,Rural,No Education,Male,26,2,-41167,172176
216,Rural,Incomplete Primary,Male,30,2,-13404,199939
217,Rural,Incomplete Primary,Male,22,1,-13404,199939
218,Rural,No Education,Male,40,7,-16456,196887
219,Rural,No Education,Female,46,1,-43428,169915
220,Rural,Incomplete Primary,Female,20,0,-40828,172515
221,Rural,Incomplete Secondary,Male,21,0,-11407,201936
222,Rural,Incomplete Primary,Male,23,2,-62328,151015
223,Rural,No Education,Male,37,4,-38043,175300
224,Rural,No Education,Male,33,4,-32951,180392
225,Rural,No Education,Male,43,1,-22025,191318
226,Rural,No Education,Male,31,4,-50218,163125
227,Rural,No Education,Male,32,2,-8420,204923
228,Rural,No Education,Male,32,4,-43062,170281
229,Rural,No Education,Male,37,4,-31480,181863
230,Urban,Complete Primary,Male,44,4,211637,424980
231,Urban,Complete Secondary,Male,33,3,264593,477936
232,Urban,No Education,Male,40,1,264593,477936
233,Urban,Higher,Male,24,1,170878,384221
234,Urban,Incomplete Primary,Male,19,0,170878,384221
235,Urban,Incomplete Secondary,Male,24,3,217102,430445
236,Urban,Complete Primary,Male,17,0,217102,430445
237,Urban,Incomplete Primary,Male,28,2,138839,352182
238,Urban,Complete Secondary,Male,38,0,272293,485636
239,Urban,Higher,Male,24,0,272293,485636
240,Urban,Incomplete Primary,Male,25,0,272293,485636
241,Urban,Higher,Male,28,0,272293,485636
242,Urban,Incomplete Primary,Male,18,0,272293,485636
243,Urban,Incomplete Primary,Male,25,1,155203,368546
244,Urban,Incomplete Primary,Male,16,0,155203,368546
245,Urban,Higher,Male,37,2,220554,433897
246,Urban,Incomplete Primary,Male,22,0,220554,433897
247,Urban,Incomplete Secondary,Male,26,0,206430,419773
248,Urban,Higher,Male,26,0,206430,419773
249,Urban,Incomplete Primary,Male,41,4,207716,421059
250,Urban,Higher,Male,18,0,207716,421059
251,Urban,Incomplete Primary,Male,38,0,174139,387482
252,Urban,Incomplete Primary,Female,45,4,270347,483690
253,Urban,Incomplete Secondary,Female,28,2,270347,483690
254,Urban,Incomplete Secondary,Female,17,0,270347,483690
255,Urban,No Education,Female,20,0,200961,414304
256,Urban,Incomplete Primary,Male,32,3,138564,351907
257,Urban,Complete Primary,Male,16,0,138564,351907
258,Urban,Incomplete Primary,Male,17,0,138564,351907
259,Urban,Incomplete Primary,Male,17,0,138564,351907
260,Urban,Complete Secondary,Male,36,2,225942,439285
261,Urban,Complete Secondary,Male,32,0,225942,439285
262,Urban,Incomplete Secondary,Male,18,0,225942,439285
263,Urban,Incomplete Primary,Female,32,1,57647,270990
264,Urban,Incomplete Primary,Female,17,0,57647,270990
265,Urban,Complete Primary,Male,18,0,114374,327717
266,Urban,Incomplete Secondary,Male,39,0,199261,412604
267,Urban,Incomplete Primary,Male,15,0,199261,412604
268,Urban,Incomplete Secondary,Female,19,0,128603,341946
269,Urban,Incomplete Secondary,Female,17,0,128603,341946
270,Urban,Higher,Male,41,2,236594,449937
271,Urban,Incomplete Primary,Male,23,0,145991,359334
272,Urban,Complete Primary,Male,25,1,145991,359334
273,Rural,No Education,Male,38,6,-46895,166448
274,Rural,Incomplete Primary,Male,40,6,-23833,189510
275,Rural,Incomplete Primary,Male,15,0,-23833,189510
276,Rural,No Education,Male,42,7,30233,243576
277,Rural,Incomplete Primary,Male,21,0,30233,243576
278,Rural,No Education,Male,34,4,-54884,158459
279,Rural,Incomplete Primary,Male,32,7,-20436,192907
280,Rural,No Education,Male,32,3,-47672,165671
281,Rural,Incomplete Primary,Male,21,2,-39889,173454
282,Rural,Higher,Male,28,2,5637,218980
283,Rural,Incomplete Primary,Male,15,0,5637,218980
284,Rural,Incomplete Primary,Male,38,6,-12182,201161
285,Rural,Incomplete Primary,Male,30,6,-3146,210197
286,Rural,No Education,Male,35,5,-17812,195531
287,Rural,Incomplete Primary,Male,22,2,-53061,160282
288,Rural,Incomplete Secondary,Male,20,1,-60068,153275
289,Rural,No Education,Male,43,6,-23057,190286
290,Rural,No Education,Male,35,6,-43184,170159
291,Rural,Incomplete Primary,Male,20,0,-43184,170159
292,Rural,No Education,Male,39,8,-34432,178911
293,Rural,Incomplete Primary,Male,17,0,-34432,178911
294,Rural,Incomplete Primary,Male,27,2,-54515,158828
295,Rural,No Education,Male,28,5,-17885,195458
296,Rural,No Education,Male,29,3,-37062,176281
297,Rural,No Education,Male,30,7,-2865,210478
298,Rural,Incomplete Primary,Male,24,3,-15870,197473
299,Rural,No Education,Male,48,7,-34964,178379
300,Rural,Incomplete Primary,Male,25,3,-11521,201822
301,Rural,Incomplete Primary,Male,28,2,4352,217695
302,Rural,Complete Primary,Male,25,2,-67968,145375
303,Rural,No Education,Female,40,7,-71866,141477
304,Rural,Incomplete Secondary,Female,23,2,-71866,141477
305,Rural,Incomplete Primary,Female,15,0,-73138,140205
306,Rural,Incomplete Primary,Female,35,7,-50845,162498
307,Rural,No Education,Female,30,3,-86409,126934
308,Rural,Incomplete Primary,Female,16,1,-86409,126934
309,Rural,No Education,Male,40,5,-78102,135241
310,Rural,No Education,Male,48,8,-73430,139913
311,Rural,No Education,Female,40,5,-80493,132850
312,Rural,Incomplete Primary,Female,16,0,-26916,186427
313,Rural,No Education,Female,25,1,-56056,157287
314,Rural,Incomplete Secondary,Male,25,2,-72312,141031
315,Rural,No Education,Male,48,4,-74892,138451
316,Rural,Incomplete Primary,Male,23,2,-95146,118197
317,Rural,No Education,Female,45,5,-72605,140738
318,Rural,Incomplete Primary,Female,15,0,-72605,140738
319,Rural,Incomplete Primary,Female,18,1,-63284,150059
320,Rural,Incomplete Primary,Female,25,4,-59839,153504
321,Urban,Higher,Female,45,0,197832,411175
322,Urban,Incomplete Primary,Male,27,4,-8138,205205
323,Urban,No Education,Male,46,5,68585,281928
324,Urban,Complete Primary,Male,18,0,68585,281928
325,Urban,Higher,Female,22,0,108535,321878
326,Urban,Higher,Female,26,0,125259,338602
327,Urban,Higher,Male,32,1,89209,302552
328,Urban,Incomplete Primary,Male,15,0,89209,302552
329,Urban,Incomplete Primary,Male,35,8,101594,314937
330,Urban,Incomplete Primary,Male,25,2,60859,274202
331,Urban,Higher,Female,27,2,107083,320426
332,Urban,Higher,Male,27,1,92598,305941
333,Urban,Incomplete Secondary,Female,18,0,18324,231667
334,Urban,Incomplete Secondary,Female,15,0,18324,231667
335,Urban,Higher,Male,24,0,111611,324954
336,Urban,No Education,Male,35,6,5217,218560
337,Urban,Incomplete Secondary,Male,17,0,5217,218560
338,Urban,Higher,Male,32,2,156523,369866
339,Urban,Incomplete Primary,Female,22,1,-12199,201144
340,Urban,Higher,Male,21,1,116773,330116
341,Urban,No Education,Female,45,5,21020,234363
342,Urban,Incomplete Primary,Male,28,2,99017,312360
343,Urban,Higher,Male,25,1,88472,301815
344,Urban,Incomplete Secondary,Male,27,2,34762,248105
345,Urban,Incomplete Primary,Female,23,2,70436,283779
346,Urban,Higher,Male,22,1,84663,298006
347,Urban,Complete Secondary,Male,38,2,275345,488688
348,Urban,Complete Secondary,Female,29,1,185476,398819
349,Urban,Incomplete Primary,Female,25,0,192347,405690
350,Urban,Complete Secondary,Female,39,0,206767,420110
351,Urban,No Education,Male,35,1,179964,393307
352,Urban,Incomplete Primary,Male,15,0,179964,393307
353,Urban,Incomplete Primary,Female,15,0,151376,364719
354,Urban,No Education,Male,40,5,201857,415200
355,Urban,Incomplete Secondary,Male,26,0,201857,415200
356,Urban,Higher,Male,23,0,201857,415200
357,Urban,No Education,Male,18,0,201857,415200
358,Urban,Higher,Male,20,0,156436,369779
359,Urban,Complete Secondary,Female,41,0,168809,382152
360,Urban,Incomplete Primary,Female,26,0,168809,382152
361,Urban,Higher,Male,27,0,242398,455741
362,Urban,Higher,Male,23,0,242398,455741
363,Urban,Complete Secondary,Male,39,0,242398,455741
364,Urban,Complete Secondary,Female,47,0,208135,421478
365,Urban,Incomplete Primary,Male,17,0,214306,427649
366,Urban,Incomplete Primary,Male,35,1,78655,291998
367,Urban,Higher,Female,23,0,166837,380180
368,Urban,Higher,Male,27,0,217829,431172
369,Rural,No Education,Female,46,6,-92191,121152
370,Rural,No Education,Male,48,7,-110024,103319
371,Rural,No Education,Female,40,9,-92499,120844
372,Rural,Incomplete Primary,Female,17,0,-92499,120844
373,Rural,No Education,Male,25,5,-97354,115989
374,Rural,No Education,Male,33,6,-83902,129441
375,Rural,No Education,Female,35,5,-88614,124729
376,Rural,No Education,Female,48,8,-111693,101650
377,Rural,No Education,Male,46,7,-114369,98974
378,Rural,No Education,Female,26,4,-103104,110239
379,Rural,No Education,Male,35,6,-102445,110898
380,Rural,No Education,Male,30,7,-90585,122758
381,Rural,No Education,Male,38,6,-103548,109795
382,Rural,No Education,Male,28,6,-106834,106509
383,Urban,Incomplete Primary,Male,28,0,126166,339509
384,Urban,Incomplete Primary,Male,21,0,126166,339509
385,Urban,Incomplete Primary,Female,40,1,69326,282669
386,Urban,Incomplete Primary,Male,34,2,-9602,203741
387,Urban,Incomplete Secondary,Male,20,0,-9602,203741
388,Urban,No Education,Female,42,2,90948,304291
389,Urban,Higher,Female,21,0,90948,304291
390,Urban,Incomplete Primary,Male,37,1,151858,365201
391,Urban,Incomplete Primary,Male,15,0,151858,365201
392,Urban,Incomplete Primary,Male,16,0,151858,365201
393,Urban,Incomplete Primary,Female,39,2,81527,294870
394,Urban,Higher,Female,21,0,80853,294196
395,Urban,Higher,Female,22,0,80853,294196
396,Urban,Incomplete Secondary,Male,28,2,93576,306919
397,Urban,Incomplete Secondary,Female,27,0,14945,228288
398,Urban,No Education,Male,48,5,99836,313179
399,Urban,Incomplete Secondary,Male,17,0,99836,313179
400,Urban,Higher,Male,20,0,99836,313179
401,Urban,Incomplete Secondary,Male,30,2,211345,424688
402,Urban,Incomplete Secondary,Male,16,0,211345,424688
403,Urban,Incomplete Secondary,Female,22,1,107217,320560
404,Urban,Incomplete Primary,Female,45,2,15282,228625
405,Urban,No Education,Female,32,3,42318,255661
406,Urban,Incomplete Primary,Male,30,4,58542,271885
407,Urban,No Education,Male,25,3,60439,273782
408,Urban,Incomplete Primary,Male,23,0,24381,237724
409,Urban,Incomplete Primary,Male,20,0,77309,290652
410,Urban,Incomplete Secondary,Male,25,2,83213,296556
411,Urban,Incomplete Secondary,Female,19,0,190554,403897
412,Urban,Incomplete Primary,Female,33,2,139607,352950
413,Urban,No Education,Male,41,3,188633,401976
414,Urban,Incomplete Secondary,Male,17,0,188633,401976
415,Urban,No Education,Male,19,0,188633,401976
416,Urban,Incomplete Secondary,Male,27,1,115574,328917
417,Urban,Incomplete Primary,Female,35,0,90738,304081
418,Urban,Higher,Female,28,1,100620,313963
419,Urban,Complete Secondary,Female,43,0,158040,371383
420,Urban,Incomplete Secondary,Female,28,3,132839,346182
421,Urban,Incomplete Secondary,Female,29,0,132839,346182
422,Urban,Higher,Female,24,0,132839,346182
423,Urban,Incomplete Secondary,Male,26,2,155031,368374
424,Urban,Higher,Male,25,0,159906,373249
425,Urban,Incomplete Primary,Male,28,2,126426,339769
426,Urban,Incomplete Secondary,Female,22,0,137032,350375
427,Urban,Incomplete Secondary,Female,39,4,179731,393074
428,Urban,Higher,Male,30,0,242792,456135
429,Urban,Incomplete Primary,Female,18,1,16615,229958
430,Urban,Higher,Male,34,2,226778,440121
431,Urban,Incomplete Primary,Male,19,0,226778,440121
432,Urban,Higher,Female,23,0,256762,470105
433,Urban,No Education,Male,19,0,208198,421541
434,Urban,Incomplete Secondary,Male,26,1,190885,404228
435,Urban,Complete Primary,Male,23,0,139471,352814
436,Urban,Higher,Male,28,1,188206,401549
437,Urban,Incomplete Secondary,Male,48,2,183073,396416
438,Urban,Complete Secondary,Female,44,2,179960,393303
439,Urban,Complete Primary,Male,24,1,188014,401357
440,Urban,Higher,Male,30,0,206430,419773
441,Urban,Complete Secondary,Female,34,1,170597,383940
442,Urban,Higher,Female,31,0,273905,487248
443,Urban,Incomplete Primary,Female,17,0,273905,487248
444,Urban,Higher,Female,39,2,200732,414075
445,Urban,Incomplete Primary,Female,18,0,200732,414075
446,Urban,No Education,Male,18,0,266626,479969
447,Urban,Incomplete Primary,Male,35,2,141682,355025
448,Urban,Higher,Male,30,1,268449,481792
449,Urban,Incomplete Primary,Male,18,0,268449,481792
450,Urban,Higher,Female,27,0,154125,367468
451,Urban,Incomplete Primary,Female,19,0,237133,450476
452,Urban,Incomplete Secondary,Female,17,0,237133,450476
453,Urban,Complete Secondary,Male,26,0,272120,485463
454,Urban,Complete Secondary,Female,35,1,170747,384090
455,Urban,Incomplete Primary,Female,40,0,87871,301214
456,Urban,Higher,Male,44,2,265161,478504
457,Urban,Higher,Male,24,0,265161,478504
458,Urban,Incomplete Secondary,Male,39,2,126425,339768
459,Urban,Incomplete Primary,Female,34,0,242055,455398
460,Rural,Complete Primary,Male,48,6,-34129,179214
461,Rural,Incomplete Secondary,Female,31,0,-29753,183590
462,Rural,Incomplete Primary,Female,19,0,-29753,183590
463,Rural,No Education,Male,30,2,-24761,188582
464,Rural,No Education,Male,35,5,-35271,178072
465,Rural,Incomplete Primary,Male,19,1,-21120,192223
466,Rural,Incomplete Primary,Female,45,0,-28988,184355
467,Rural,No Education,Male,25,3,-50506,162837
468,Rural,No Education,Male,43,7,-37923,175420
469,Rural,Incomplete Primary,Male,23,3,-7698,205645
470,Rural,Incomplete Secondary,Female,23,0,-19423,193920
471,Rural,Incomplete Secondary,Female,20,0,-19423,193920
472,Rural,Incomplete Primary,Female,17,1,-34817,178526
473,Rural,Incomplete Primary,Male,30,1,-20133,193210
474,Rural,No Education,Female,38,1,-8069,205274
475,Rural,Higher,Female,21,1,-8069,205274
476,Rural,Incomplete Primary,Female,33,3,-48559,164784
477,Rural,No Education,Male,36,5,-34725,178618
478,Rural,Incomplete Primary,Male,23,0,-38640,174703
479,Rural,No Education,Male,40,6,1163,214506
480,Rural,Incomplete Primary,Male,35,6,-32889,180454
481,Rural,Incomplete Primary,Male,25,2,-29633,183710
482,Rural,Incomplete Primary,Male,30,2,-28629,184714
483,Rural,No Education,Female,25,1,-72542,140801
484,Rural,Incomplete Primary,Male,24,0,-25355,187988
485,Rural,Incomplete Primary,Male,20,0,-38672,174671
486,Rural,Incomplete Primary,Male,16,0,-38672,174671
487,Rural,No Education,Male,35,8,-39227,174116
488,Rural,No Education,Male,25,4,-49034,164309
489,Rural,Incomplete Primary,Male,42,7,-28192,185151
490,Rural,Incomplete Primary,Male,17,0,-28192,185151
491,Rural,Incomplete Primary,Male,25,2,-21086,192257
492,Rural,No Education,Male,26,3,-16426,196917
493,Rural,No Education,Female,25,4,-68102,145241
494,Rural,No Education,Female,30,6,-21625,191718
495,Rural,Incomplete Primary,Female,26,3,-58407,154936
496,Rural,No Education,Male,42,7,-24054,189289
497,Rural,Incomplete Primary,Female,48,8,-25385,187958
498,Rural,Incomplete Primary,Female,17,0,-25385,187958
499,Rural,No Education,Male,25,1,-52060,161283
500,Rural,Incomplete Primary,Male,16,0,-52060,161283
501,Rural,No Education,Male,27,8,-2855,210488
502,Rural,No Education,Male,43,7,-20281,193062
503,Rural,No Education,Male,40,10,-22597,190746
504,Rural,Incomplete Primary,Male,20,1,-22597,190746
505,Rural,No Education,Male,29,7,-38721,174622
506,Rural,No Education,Male,36,3,-19126,194217
507,Rural,Incomplete Primary,Male,17,0,-19126,194217
508,Rural,No Education,Male,38,6,-7186,206157
509,Rural,Incomplete Secondary,Male,18,0,-10912,202431
510,Rural,No Education,Female,45,9,-67571,145772
511,Rural,No Education,Male,35,6,-50504,162839
512,Rural,No Education,Male,44,0,-58044,155299
513,Rural,Incomplete Primary,Male,30,2,9629,222972
514,Rural,No Education,Male,35,7,-140895,72448
515,Rural,Complete Primary,Male,20,2,-114993,98350
516,Rural,No Education,Female,18,1,-123553,89790
517,Rural,No Education,Female,20,0,-99308,114035
518,Rural,No Education,Male,19,2,-122051,91292
519,Rural,No Education,Male,34,10,-118888,94455
520,Rural,No Education,Male,25,4,-128863,84480
521,Rural,Incomplete Primary,Female,40,7,-122712,90631
522,Rural,No Education,Male,27,2,-97341,116002
523,Rural,No Education,Male,32,5,-125380,87963
524,Rural,No Education,Male,23,3,-138017,75326
525,Rural,No Education,Male,30,4,-118114,95229
526,Rural,No Education,Male,25,3,-111489,101854
527,Rural,No Education,Male,27,1,-109457,103886
528,Rural,No Education,Male,42,5,-122790,90553
529,Rural,No Education,Female,20,0,-103061,110282
530,Rural,No Education,Male,31,6,-118017,95326
531,Rural,No Education,Male,24,3,-104564,108779
532,Rural,No Education,Female,16,0,-109972,103371
533,Rural,No Education,Male,33,4,-25289,188054
534,Rural,Incomplete Primary,Male,26,4,-7900,205443
535,Rural,No Education,Male,31,6,-35718,177625
